id,name,type,league
,,,
VI,Vladimir Ivic,1,2
FCW,FC Watford,2,2
HM,Hayden Mullins,1,2
WBA,West Bromwich Albion,2,2
SlB,Slaven Bilic,1,2
SA,Sam Allardyce,1,2
FCC,FC Chelsea,2,2
FL,Frank Lampard,1,2
TT,Thomas Tuchel,1,2
SU,Sheffield United,2,2
CW,Chris Wilder,1,2
PH,Paul Heckingbottom,1,2
TH,Tottenham Hotspur,2,2
JS,Jose Mourinho,1,2
RyM,Ryan Mason,1,2
